kID  GiftID  GiftType  TaskType  RequestTime  TaskArrival  TT  Responsible
198     70      2         D             70       89           19  S
199     89      1         C             89       90           1   B
200     90      1         C             90       91           1   B
201     66      3         D             66       91           25  S
202     77      2         P             77       91           14  A
203     88      1         D             88       92           4   S
204     69      3         A             69       92           23  B
205     77      2         C             77       93           16  A
206     89      1         D             89       93           4   S
207     92      1         C             92       93           1   B
208     69      3         C             69       94           25  A
209     90      1         D             90       94           4   S
210     94      1         C             94       94           0   A
211     77      2         D             77       95           18  S
212     71      5         A             71       96           25  B
213     92      1         D             92       96           4   S
214     95      1         C             95       96           1   A
215     69      3         D             69       96           27  S
216     72      3         A             72       97           25  B
217     94      1         D             94       97           3   S
218     79      2         P             79       98           19  A
219     97      1         C             97       99           2   B
220     95      1         D             95       99           4   S
221     79      2         C             79       99           20  B
222     72      3         C             72       99           27  A
223     97      1         D             97       100          3   S
224     100     1         C             100      100          0   A
225     79      2         D             79       100          21  S
226     74      3         A             74       101          27  B
227     72      3         D             72       101          29  S
228     101     1         C             101      102          1   B
229     100     1         D             100      103          3   S
230     84      2         P             84       103          19  A
231     74      3         C             74       103          29  B
232     101     1         D             101      104          3   S
233     102     1         C             102      104          2   A
234     74      3         D             74       104          30  S
235     84      2         C             84       105          21  B
236     105     1         C             105      105          0   B
237     102     1         D             102      106          4   S
238     104     1         C             104      106          2   A
239     106     1         C             106      106          0   B
240     84      2         D             84       107          23  S
241     105     1         D             105      107          2   S
242     107     1         C             107      107          0   B
243     87      4         P             87       108          21  A
244     104     1         D             104      108          4   S
245     108     1         C             108      109          1   B
246     106     1         D             106      109          3   S
247     107     1         D             107      110          3   S
248     81      3         A             81       110          29  B
249     91      2         P             91       111          20  A
250     108     1         D             108      111          3   S
251     110     1         C             110      112          2   B
252     81      3         C             81       112          31  A
253     60      4         Q             60       112          52  S
254     91      2         C             91       113          22  B
255     112     1         C             112      113          1   A
256     110     1         D             110      113          3   S
257     60      4         C             60       114          54  B
258     81      3         D             81       114          33  S
259     114     1         C             114      115          1   B
260     91      2         D             91       116          25  S
261     99      2         P             99       116          17  A
262     112     1         D             112      116          4   S
263     86      5         A             86       117          31  B
264     116     1         C             116      117          1   A
265     60      4         D             60       118          58  S
266     99      2         C             99       118          19  B
267     117     1         C             117      118          1   A
268     114     1         D             114      119          5   S
